# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
70,335.82173001837839,335.82351696148334,5.3211062454130364e-06,328.32739368653574,0.022316412733126314,336.77188550642376,0.0028293448669726327
71,346.13117291100258,346.12867522396408,7.2160129857508066e-06,339.45889725566167,0.019276725639087382,347.13518112561155,0.0029006581700375313
72,351.45338147775021,352.05666859287282,0.0017165494683419476,343.04921445252575,0.02391260823807586,352.59444588514179,0.0032467020308462173
73,359.7613486445216,359.79804828532468,0.00010201107189905875,347.77929439056027,0.033305562976974339,360.89883181934363,0.0031617714885374321
74,360.50568232908284,360.49287430837131,3.5527930180695795e-05,348.62197818566074,0.032963985662157261,361.65003311816628,0.0031742933473065957
75,365.17536284015,365.17536284030575,4.2651006482820036e-13,351.94749037752348,0.036223343107669677,366.35836131964953,0.0032395353024332338
76,365.17536284028523,365.17536284031593,8.4056728104796681e-14,351.94749037753127,0.036223343108005256,366.36728099051589,0.0032639610212476617
77,369.5473258588392,369.52864658355577,5.0546368425264499e-05,359.62692900178286,0.026844726406830419,370.80062582781812,0.003391446457003078
78,372.26692426981384,372.40072957905699,0.00035943378398603981,361.47146421063815,0.028999245851214269,373.51519427092484,0.0033531584992661529
79,376.16481012383503,376.36466995649107,0.00053130922212061985,366.99960501061059,0.02436486578903329,377.49048329067364,0.0035241817712884818
80,382.89828355152298,382.81196998731934,0.00022542165350819876,370.96267976024831,0.031171734907160041,384.31921191231118,0.0037109812757805034
81,389.8648619478904,389.86121010117785,9.3669552426747807e-06,379.38393635599908,0.026883483521765058,391.30190575336559,0.0036860049359033046
82,390.50119867549705,390.5576925062133,0.00014467005711599648,379.3866199357758,0.02846234218337795,391.97622691514886,0.0037772694287618335
83,394.78417604354337,394.7841760435652,5.529064782004519e-14,381.40126918903024,0.033899299076863287,396.27551622729231,0.0037776088157709139
84,394.78417604382435,394.78417604358003,6.1885209461037783e-13,381.4012691890328,0.033899299077544402,396.30249621142758,0.0038459499132373763
